,Geographic Area,"April 1, 2000",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"April 1, 2010","July 1, 2010"
48,"Lake County, Indiana",484582,484514,484454.0,484520.0,485596.0,487405.0,489530.0,491432.0,493403.0,495479.0,495789.0,496005,495981
49,"LaPorte County, Indiana",110099,110121,110077.0,109555.0,109027.0,108914.0,109541.0,109641.0,110846.0,111267.0,111465.0,111467,111465
50,"Lawrence County, Indiana",45912,45915,45965.0,46039.0,46178.0,46106.0,46233.0,46165.0,46300.0,46233.0,46138.0,46134,46124
51,"Madison County, Indiana",133322,133213,132920.0,132433.0,131740.0,131366.0,130871.0,131240.0,131203.0,131537.0,131599.0,131636,131642
52,"Marion County, Indiana",860440,860832,865662.0,866210.0,868576.0,870378.0,873310.0,878515.0,883591.0,889504.0,898394.0,903393,904878
53,"Marshall County, Indiana",45126,45243,45534.0,45518.0,45923.0,46288.0,46549.0,46851.0,46871.0,47012.0,47126.0,47051,47020
54,"Martin County, Indiana",10367,10360,10311.0,10341.0,10309.0,10361.0,10323.0,10344.0,10334.0,10304.0,10300.0,10334,10338
55,"Miami County, Indiana",36085,36184,36475.0,37019.0,37251.0,37120.0,37445.0,37745.0,37580.0,37281.0,37127.0,36903,36800
56,"Monroe County, Indiana",120561,120872,121696.0,122628.0,124514.0,126359.0,128121.0,130677.0,132514.0,134401.0,136198.0,137974,138422
57,"Montgomery County, Indiana",37629,37601,37793.0,37782.0,37634.0,37795.0,38105.0,38040.0,38172.0,38204.0,38180.0,38124,38096
58,"Morgan County, Indiana",66705,66838,66884.0,67266.0,67729.0,67795.0,68037.0,68308.0,68354.0,68964.0,68583.0,68894,69061
59,"Newton County, Indiana",14538,14525,14358.0,14343.0,14446.0,14386.0,14485.0,14326.0,14374.0,14348.0,14207.0,14244,14243
60,"Noble County, Indiana",46468,46640,47110.0,46884.0,46917.0,46996.0,47292.0,47470.0,47419.0,47561.0,47574.0,47536,47541
61,"Ohio County, Indiana",5568,5582,5633.0,5735.0,5779.0,5868.0,5943.0,6022.0,5992.0,6069.0,6134.0,6128,6119
62,"Orange County, Indiana",19301,19316,19373.0,19439.0,19622.0,19624.0,19744.0,19666.0,19868.0,19837.0,19931.0,19840,19800
63,"Owen County, Indiana",21781,21837,21954.0,22079.0,22321.0,22190.0,21975.0,21871.0,21838.0,21763.0,21642.0,21575,21572
64,"Parke County, Indiana",17194,17179,17202.0,17274.0,17515.0,17460.0,17396.0,17376.0,17449.0,17488.0,17326.0,17339,17332
65,"Perry County, Indiana",18887,18865,18893.0,18903.0,18963.0,19148.0,19260.0,19202.0,19379.0,19340.0,19331.0,19338,19327
66,"Pike County, Indiana",12835,12826,12905.0,12984.0,12970.0,13047.0,12879.0,13016.0,13047.0,13047.0,12836.0,12845,12831
67,"Porter County, Indiana",146806,147137,148372.0,149992.0,151731.0,153664.0,156024.0,158595.0,160835.0,162538.0,163572.0,164343,164592
68,"Posey County, Indiana",27078,27070,26933.0,26908.0,26736.0,26664.0,26488.0,26348.0,26229.0,26080.0,25941.0,25910,25903
69,"Pulaski County, Indiana",13626,13605,13627.0,13606.0,13634.0,13667.0,13682.0,13713.0,13724.0,13646.0,13548.0,13402,13351
70,"Putnam County, Indiana",36060,36180,36382.0,36525.0,37145.0,37516.0,37780.0,37768.0,38189.0,38325.0,38052.0,37963,37906
71,"Randolph County, Indiana",27411,27363,27166.0,26989.0,26763.0,26582.0,26517.0,26415.0,26223.0,26300.0,26240.0,26171,26133
72,"Ripley County, Indiana",26508,26654,27130.0,27421.0,27615.0,27849.0,28040.0,28352.0,28361.0,28605.0,28716.0,28818,28814
73,"Rush County, Indiana",18258,18194,18145.0,18034.0,18090.0,17869.0,17826.0,17723.0,17756.0,17543.0,17461.0,17392,17358
74,"St. Joseph County, Indiana",265567,265845,265502.0,265090.0,264762.0,264541.0,264863.0,265496.0,266045.0,267282.0,266827.0,266931,266961
75,"Scott County, Indiana",22976,23049,23332.0,23370.0,23638.0,23626.0,23889.0,23982.0,24137.0,24089.0,24165.0,24181,24174
76,"Shelby County, Indiana",43380,43479,43746.0,43577.0,43385.0,43488.0,43482.0,43812.0,44086.0,44345.0,44551.0,44436,44391
77,"Spencer County, Indiana",20385,20432,20465.0,20422.0,20529.0,20605.0,20896.0,20977.0,21032.0,20978.0,20992.0,20952,20908
78,"Starke County, Indiana",23567,23525,23217.0,23361.0,23336.0,23310.0,23394.0,23362.0,23260.0,23379.0,23343.0,23363,23372
79,"Steuben County, Indiana",33233,33339,33556.0,33496.0,33789.0,33718.0,33926.0,34044.0,34004.0,34055.0,34194.0,34185,34165
80,"Sullivan County, Indiana",21736,21756,21771.0,21792.0,21801.0,21809.0,21689.0,21540.0,21558.0,21550.0,21483.0,21475,21469
81,"Switzerland County, Indiana",9082,9129,9465.0,9711.0,9722.0,9863.0,10165.0,10151.0,10271.0,10387.0,10541.0,10613,10615
82,"Tippecanoe County, Indiana",148954,149359,151095.0,152348.0,154040.0,155832.0,158834.0,163010.0,166226.0,169039.0,171937.0,172780,172963
83,"Tipton County, Indiana",16601,16582,16508.0,16529.0,16511.0,16510.0,16411.0,16326.0,16257.0,16137.0,16046.0,15936,15895
84,"Union County, Indiana",7341,7343,7323.0,7366.0,7293.0,7291.0,7378.0,7432.0,7467.0,7428.0,7466.0,7516,7520
85,"Vanderburgh County, Indiana",171941,172052,172449.0,173067.0,174239.0,175113.0,175769.0,176822.0,177789.0,178053.0,178995.0,179703,179833
86,"Vermillion County, Indiana",16790,16772,16639.0,16556.0,16493.0,16515.0,16603.0,16585.0,16561.0,16387.0,16377.0,16212,16148
87,"Vigo County, Indiana",105859,105762,105482.0,105221.0,105356.0,104662.0,105245.0,106509.0,106885.0,106972.0,107429.0,107848,107958
88,"Wabash County, Indiana",34968,34993,34700.0,34488.0,34325.0,34131.0,33806.0,33665.0,33361.0,33238.0,33036.0,32888,32826
89,"Warren County, Indiana",8415,8435,8553.0,8598.0,8589.0,8609.0,8626.0,8625.0,8554.0,8602.0,8533.0,8508,8501
90,"Warrick County, Indiana",52380,52531,52780.0,53317.0,54439.0,55171.0,56066.0,56746.0,57754.0,58435.0,59197.0,59689,59835
91,"Washington County, Indiana",27204,27247,27484.0,27674.0,27736.0,27854.0,27893.0,28164.0,28236.0,28298.0,28144.0,28262,28290
92,"Wayne County, Indiana",71087,71033,70712.0,70545.0,70490.0,70070.0,69793.0,69642.0,69365.0,69093.0,68984.0,68917,68853
93,"Wells County, Indiana",27626,27619,27626.0,27745.0,27803.0,27826.0,27820.0,27872.0,27836.0,27751.0,27620.0,27636,27642
94,"White County, Indiana",25264,25246,25351.0,25240.0,25060.0,24976.0,24861.0,24830.0,24762.0,24871.0,24573.0,24643,24635
95,"Whitley County, Indiana",30617,30634,30998.0,31278.0,31621.0,31841.0,32182.0,32597.0,32853.0,33047.0,33125.0,33292,33335
4,"Adair County, Iowa",8252,8223,8132.0,8059.0,8050.0,8019.0,7932.0,7924.0,7871.0,7747.0,7676.0,7682,7675
5,"Adams County, Iowa",4479,4476,4402.0,4370.0,4365.0,4307.0,4226.0,4224.0,4195.0,4151.0,4047.0,4029,4019
6,"Allamakee County, Iowa",14687,14674,14333.0,14289.0,14345.0,14324.0,14371.0,14378.0,14335.0,14325.0,14263.0,14330,14355
7,"Appanoose County, Iowa",13715,13696,13578.0,13420.0,13522.0,13462.0,13453.0,13319.0,13105.0,12950.0,12896.0,12887,12877
8,"Audubon County, Iowa",6826,6804,6664.0,6572.0,6479.0,6430.0,6324.0,6265.0,6222.0,6200.0,6136.0,6119,6107
9,"Benton County, Iowa",25312,25326,25532.0,25829.0,25946.0,26181.0,26265.0,26137.0,26066.0,26097.0,26117.0,26076,26073
10,"Black Hawk County, Iowa",127990,128019,127765.0,126876.0,126491.0,126682.0,127021.0,127486.0,127756.0,129203.0,130595.0,131090,131221
11,"Boone County, Iowa",26206,26251,26249.0,26086.0,26232.0,26372.0,26500.0,26471.0,26553.0,26454.0,26360.0,26306,26281
12,"Bremer County, Iowa",23361,23312,23506.0,23386.0,23549.0,23728.0,23833.0,24054.0,24237.0,24162.0,24183.0,24276,24289
13,"Buchanan County, Iowa",21092,21064,20952.0,20796.0,20822.0,20910.0,20831.0,20957.0,21069.0,21154.0,21016.0,20958,20936
14,"Buena Vista County, Iowa",20415,20361,20241.0,20233.0,20141.0,20000.0,19970.0,19909.0,19798.0,19855.0,20004.0,20260,20332
15,"Butler County, Iowa",15307,15299,15065.0,14926.0,14939.0,14985.0,14965.0,14931.0,14961.0,14957.0,14699.0,14867,14911
16,"Calhoun County, Iowa",11114,11088,10918.0,10683.0,10488.0,10382.0,10228.0,10093.0,9947.0,9845.0,9684.0,9670,9662
17,"Carroll County, Iowa",21433,21382,21225.0,21159.0,21024.0,20936.0,20973.0,20832.0,20869.0,20742.0,20743.0,20816,20838
18,"Cass County, Iowa",14689,14675,14488.0,14242.0,14275.0,14142.0,14002.0,14021.0,13988.0,13935.0,13949.0,13956,13952
19,"Cedar County, Iowa",18181,18199,18126.0,18150.0,18224.0,18248.0,18213.0,18332.0,18321.0,18460.0,18458.0,18499,18501
20,"Cerro Gordo County, Iowa",46454,46389,45844.0,45430.0,45412.0,44993.0,44741.0,44531.0,44461.0,44285.0,44239.0,44151,44104
21,"Cherokee County, Iowa",13032,13019,12905.0,12685.0,12579.0,12510.0,12380.0,12215.0,12152.0,12014.0,11953.0,12072,12095
22,"Chickasaw County, Iowa",13095,13168,13192.0,12941.0,12770.0,12691.0,12561.0,12603.0,12540.0,12471.0,12465.0,12439,12416
23,"Clarke County, Iowa",9131,9194,9207.0,9213.0,9282.0,9307.0,9180.0,9196.0,9149.0,9217.0,9228.0,9286,9300
24,"Clay County, Iowa",17369,17360,17256.0,17086.0,16985.0,16960.0,16848.0,16812.0,16725.0,16697.0,16708.0,16667,16650
25,"Clayton County, Iowa",18667,18611,18529.0,18369.0,18357.0,18358.0,18269.0,18272.0,18259.0,18209.0,18185.0,18129,18087
26,"Clinton County, Iowa",50159,50120,49889.0,49659.0,49585.0,49498.0,49475.0,49487.0,49342.0,49303.0,49147.0,49116,49093
27,"Crawford County, Iowa",16945,16944,16960.0,16981.0,16953.0,16941.0,16920.0,16868.0,16931.0,16881.0,16944.0,17096,17132
28,"Dallas County, Iowa",41109,41446,43204.0,44960.0,47118.0,50387.0,53042.0,56158.0,59164.0,62144.0,64489.0,66135,66616
29,"Davis County, Iowa",8541,8544,8588.0,8586.0,8534.0,8612.0,8583.0,8619.0,8676.0,8675.0,8701.0,8753,8765
30,"Decatur County, Iowa",8689,8645,8669.0,8603.0,8575.0,8580.0,8618.0,8576.0,8569.0,8457.0,8506.0,8457,8433
31,"Delaware County, Iowa",18422,18416,18294.0,18271.0,18190.0,18066.0,17955.0,17957.0,17981.0,17840.0,17755.0,17764,17751
32,"Des Moines County, Iowa",42359,42253,41820.0,41138.0,41047.0,40562.0,40332.0,40192.0,40206.0,40235.0,40379.0,40325,40318
33,"Dickinson County, Iowa",16429,16460,16477.0,16351.0,16339.0,16506.0,16644.0,16667.0,16634.0,16690.0,16666.0,16667,16667
34,"Dubuque County, Iowa",89133,89201,88932.0,89132.0,90012.0,90462.0,90769.0,91258.0,92130.0,92519.0,92948.0,93653,93880
35,"Emmet County, Iowa",11022,10995,10890.0,10815.0,10724.0,10553.0,10527.0,10437.0,10417.0,10448.0,10361.0,10302,10280
36,"Fayette County, Iowa",22020,22022,21791.0,21643.0,21604.0,21415.0,21426.0,21265.0,21005.0,20910.0,20939.0,20880,20839
37,"Floyd County, Iowa",16898,16854,16660.0,16670.0,16641.0,16586.0,16520.0,16586.0,16497.0,16331.0,16248.0,16303,16310
38,"Franklin County, Iowa",10700,10679,10618.0,10674.0,10655.0,10716.0,10766.0,10699.0,10759.0,10690.0,10656.0,10680,10683
39,"Fremont County, Iowa",8008,7995,7874.0,7787.0,7743.0,7655.0,7616.0,7622.0,7642.0,7489.0,7453.0,7441,7432
40,"Greene County, Iowa",10372,10341,10150.0,10105.0,9996.0,9932.0,9800.0,9611.0,9548.0,9415.0,9329.0,9336,9335
41,"Grundy County, Iowa",12370,12368,12319.0,12372.0,12348.0,12383.0,12406.0,12436.0,12317.0,12359.0,12447.0,12453,12447
42,"Guthrie County, Iowa",11348,11334,11225.0,11227.0,11343.0,11389.0,11249.0,11150.0,11116.0,11038.0,10939.0,10954,10956
43,"Hamilton County, Iowa",16435,16423,16236.0,16337.0,16366.0,16285.0,16261.0,16144.0,15987.0,15863.0,15739.0,15673,15636
44,"Hancock County, Iowa",12107,12109,11954.0,11846.0,11905.0,11838.0,11834.0,11729.0,11580.0,11525.0,11371.0,11341,11321
45,"Hardin County, Iowa",18806,18807,18669.0,18476.0,18327.0,18164.0,17974.0,17893.0,17789.0,17690.0,17535.0,17534,17519
46,"Harrison County, Iowa",15674,15685,15592.0,15421.0,15444.0,15412.0,15362.0,15346.0,15177.0,14946.0,14972.0,14928,14922
47,"Henry County, Iowa",20353,20341,20408.0,20086.0,20225.0,20225.0,20354.0,20326.0,20359.0,20307.0,20202.0,20145,20119
48,"Howard County, Iowa",9951,9934,9908.0,9860.0,9808.0,9792.0,9760.0,9664.0,9636.0,9625.0,9568.0,9566,9559
49,"Humboldt County, Iowa",10384,10377,10335.0,10176.0,10154.0,10121.0,10033.0,10038.0,9935.0,9911.0,9843.0,9815,9796
50,"Ida County, Iowa",7839,7804,7704.0,7636.0,7571.0,7457.0,7369.0,7247.0,7228.0,7215.0,7090.0,7089,7078
51,"Iowa County, Iowa",15680,15729,15868.0,15911.0,16062.0,16108.0,16297.0,16391.0,16308.0,16337.0,16406.0,16355,16321
52,"Jackson County, Iowa",20295,20297,20267.0,20142.0,20148.0,20146.0,20124.0,20092.0,20015.0,19919.0,19841.0,19848,19845
53,"Jasper County, Iowa",37229,37252,37377.0,37552.0,37703.0,37645.0,37482.0,37288.0,37167.0,37103.0,36879.0,36842,36815
54,"Jefferson County, Iowa",16180,16189,16207.0,16131.0,16194.0,16298.0,16315.0,16401.0,16600.0,16607.0,16782.0,16843,16827
55,"Johnson County, Iowa",110983,111455,113546.0,114948.0,116673.0,118891.0,120300.0,122226.0,124541.0,127113.0,129864.0,130882,131225
56,"Jones County, Iowa",20227,20259,20254.0,20283.0,20406.0,20613.0,20605.0,20678.0,20803.0,20848.0,20562.0,20638,20649
57,"Keokuk County, Iowa",11405,11418,11369.0,11330.0,11186.0,11061.0,10881.0,10713.0,10688.0,10620.0,10552.0,10511,10498
58,"Kossuth County, Iowa",17159,17206,16912.0,16670.0,16525.0,16437.0,16287.0,16045.0,15878.0,15685.0,15630.0,15543,15500
59,"Lee County, Iowa",38062,37931,37435.0,36960.0,36627.0,36587.0,36364.0,36291.0,36130.0,35819.0,35856.0,35862,35857
60,"Linn County, Iowa",191728,192365,194359.0,195987.0,196920.0,198314.0,200395.0,202709.0,205840.0,208558.0,210217.0,211226,211501
61,"Louisa County, Iowa",12188,12174,12184.0,12225.0,12230.0,12115.0,11862.0,11904.0,11892.0,11830.0,11416.0,11387,11375
62,"Lucas County, Iowa",9412,9369,9386.0,9360.0,9384.0,9508.0,9462.0,9331.0,9280.0,9137.0,8948.0,8898,8885
63,"Lyon County, Iowa",11763,11748,11684.0,11670.0,11702.0,11692.0,11677.0,11604.0,11536.0,11545.0,11557.0,11581,11578
64,"Madison County, Iowa",14012,14049,14144.0,14312.0,14481.0,14733.0,14918.0,15262.0,15418.0,15517.0,15510.0,15679,15732
65,"Mahaska County, Iowa",22319,22299,22407.0,22394.0,22156.0,22240.0,22454.0,22298.0,22388.0,22483.0,22364.0,22381,22376
66,"Marion County, Iowa",32048,32104,32583.0,32572.0,32547.0,32618.0,32774.0,33396.0,33279.0,33515.0,33468.0,33309,33234
67,"Marshall County, Iowa",39332,39356,39414.0,39297.0,39397.0,39711.0,39646.0,39601.0,39875.0,40151.0,40280.0,40648,40746
68,"Mills County, Iowa",14543,14554,14497.0,14546.0,14621.0,14715.0,14905.0,15214.0,15239.0,15214.0,15056.0,15059,15061
69,"Mitchell County, Iowa",10877,10868,10736.0,10822.0,10830.0,10898.0,10800.0,10836.0,10812.0,10815.0,10763.0,10776,10781
70,"Monona County, Iowa",10020,10009,9860.0,9791.0,9819.0,9681.0,9566.0,9479.0,9423.0,9350.0,9247.0,9243,9231
71,"Monroe County, Iowa",8012,8005,7986.0,7887.0,7954.0,7969.0,7955.0,7911.0,7877.0,7904.0,7924.0,7970,7974
72,"Montgomery County, Iowa",11775,11793,11509.0,11313.0,11211.0,11191.0,11214.0,11179.0,10981.0,10823.0,10803.0,10740,10718
73,"Muscatine County, Iowa",41723,41791,41760.0,41757.0,41654.0,41758.0,41894.0,42145.0,42325.0,42515.0,42783.0,42745,42738
74,"O'Brien County, Iowa",15096,15067,14950.0,14808.0,14762.0,14564.0,14552.0,14558.0,14421.0,14332.0,14412.0,14398,14374
75,"Osceola County, Iowa",7003,6985,6963.0,6899.0,6888.0,6863.0,6743.0,6713.0,6600.0,6617.0,6509.0,6462,6439
76,"Page County, Iowa",16982,16939,16822.0,16506.0,16356.0,16227.0,16274.0,16331.0,16256.0,16083.0,15885.0,15932,15922
77,"Palo Alto County, Iowa",10143,10135,10051.0,9896.0,9748.0,9753.0,9702.0,9586.0,9577.0,9486.0,9510.0,9421,9383
78,"Plymouth County, Iowa",24859,24870,24847.0,24729.0,24858.0,25042.0,24980.0,24982.0,24886.0,24898.0,24904.0,24986,24995
79,"Pocahontas County, Iowa",8664,8602,8465.0,8355.0,8170.0,8003.0,7835.0,7694.0,7667.0,7510.0,7395.0,7310,7278
80,"Polk County, Iowa",374258,375627,380108.0,384355.0,388277.0,392164.0,399030.0,405990.0,413024.0,419495.0,425737.0,430640,432260
81,"Pottawattamie County, Iowa",87825,88022,87953.0,88447.0,88821.0,89762.0,90198.0,90867.0,91239.0,91781.0,92395.0,93158,93359
82,"Poweshiek County, Iowa",18829,18903,18972.0,18941.0,19060.0,19106.0,19002.0,19053.0,19140.0,19025.0,18958.0,18914,18885
83,"Ringgold County, Iowa",5469,5465,5415.0,5339.0,5332.0,5335.0,5304.0,5230.0,5201.0,5164.0,5119.0,5131,5129
84,"Sac County, Iowa",11531,11481,11403.0,11119.0,10967.0,10871.0,10716.0,10707.0,10532.0,10475.0,10342.0,10350,10346
85,"Scott County, Iowa",158705,158614,158203.0,158086.0,158048.0,158145.0,158543.0,159597.0,160077.0,161824.0,163582.0,165224,165841
86,"Shelby County, Iowa",13064,13031,12990.0,12869.0,12819.0,12750.0,12547.0,12480.0,12496.0,12338.0,12165.0,12167,12160
87,"Sioux County, Iowa",31596,31609,31952.0,32164.0,32318.0,32547.0,32726.0,33077.0,33150.0,33364.0,33587.0,33704,33705
88,"Story County, Iowa",79988,80152,80260.0,81885.0,82068.0,82754.0,82884.0,84739.0,86540.0,87831.0,89285.0,89542,89575
89,"Tama County, Iowa",18099,18084,18080.0,18017.0,18030.0,18167.0,18197.0,18149.0,18064.0,17986.0,17833.0,17767,17730
90,"Taylor County, Iowa",6958,6976,6894.0,6813.0,6747.0,6689.0,6534.0,6557.0,6448.0,6348.0,6355.0,6317,6303
91,"Union County, Iowa",12312,12281,12240.0,12163.0,12004.0,12085.0,12143.0,12225.0,12319.0,12447.0,12527.0,12534,12528
92,"Van Buren County, Iowa",7800,7793,7716.0,7722.0,7672.0,7665.0,7638.0,7660.0,7690.0,7699.0,7628.0,7570,7548
93,"Wapello County, Iowa",36067,36007,35947.0,35796.0,35750.0,35709.0,35855.0,35776.0,35458.0,35381.0,35481.0,35625,35667
94,"Warren County, Iowa",40672,40787,41080.0,41422.0,42187.0,42584.0,43339.0,44178.0,44868.0,45450.0,45926.0,46225,46308
95,"Washington County, Iowa",20679,20718,21064.0,21108.0,21190.0,21258.0,21350.0,21472.0,21588.0,21686.0,21692.0,21704,21693
96,"Wayne County, Iowa",6732,6728,6655.0,6665.0,6614.0,6561.0,6494.0,6478.0,6376.0,6373.0,6393.0,6403,6402
97,"Webster County, Iowa",40230,40234,40045.0,39654.0,39377.0,38922.0,38562.0,38534.0,38393.0,38273.0,38316.0,38013,37915
98,"Winnebago County, Iowa",11717,11778,11586.0,11403.0,11412.0,11321.0,11340.0,11138.0,10986.0,10927.0,10917.0,10866,10841
99,"Winneshiek County, Iowa",21291,21265,21258.0,21183.0,21006.0,21040.0,21060.0,21012.0,21078.0,20980.0,21025.0,21056,21059
100,"Woodbury County, Iowa",103876,103786,103129.0,102666.0,102039.0,101816.0,100589.0,100693.0,100492.0,100910.0,101581.0,102172,102407
101,"Worth County, Iowa",7904,7894,7797.0,7795.0,7734.0,7731.0,7742.0,7649.0,7655.0,7632.0,7610.0,7598,7594
102,"Wright County, Iowa",14337,14327,14133.0,13957.0,13831.0,13808.0,13717.0,13588.0,13492.0,13375.0,13262.0,13229,13202
4,"Allen County, Kansas",14394,14393,14171.0,14110.0,13940.0,13923.0,13733.0,13639.0,13545.0,13422.0,13407.0,13371,13354
5,"Anderson County, Kansas",8108,8091,8195.0,8143.0,8190.0,8101.0,8087.0,8023.0,8040.0,8158.0,8101.0,8102,8097
6,"Atchison County, Kansas",16787,16796,16868.0,16823.0,16875.0,16937.0,16865.0,16902.0,16864.0,16820.0,16965.0,16924,16894
7,"Barber County, Kansas",5307,5292,5158.0,5088.0,5049.0,5004.0,4984.0,5003.0,4927.0,4844.0,4882.0,4861,4844
8,"Barton County, Kansas",28200,28163,27771.0,27684.0,27581.0,27390.0,27536.0,27460.0,27492.0,27314.0,27526.0,27674,27705
9,"Bourbon County, Kansas",15380,15366,15368.0,15200.0,15187.0,15110.0,15002.0,14990.0,15038.0,15127.0,15157.0,15173,15172
10,"Brown County, Kansas",10728,10709,10555.0,10373.0,10271.0,10253.0,10087.0,10111.0,10036.0,9988.0,9972.0,9984,9988
11,"Butler County, Kansas",59455,59681,59894.0,60473.0,61056.0,61849.0,62547.0,63571.0,64213.0,64941.0,65617.0,65880,65923
12,"Chase County, Kansas",3030,3019,2966.0,3008.0,2942.0,2996.0,2962.0,2949.0,2840.0,2810.0,2779.0,2790,2794
13,"Chautauqua County, Kansas",4359,4344,4240.0,4183.0,4143.0,4139.0,3989.0,3836.0,3757.0,3735.0,3691.0,3669,3660
14,"Cherokee County, Kansas",22601,22554,22338.0,22185.0,22138.0,22124.0,21750.0,21855.0,21896.0,21720.0,21658.0,21603,21569
15,"Cheyenne County, Kansas",3165,3157,3083.0,3033.0,2957.0,2922.0,2880.0,2866.0,2810.0,2778.0,2743.0,2726,2720
16,"Clark County, Kansas",2395,2402,2393.0,2372.0,2364.0,2358.0,2298.0,2252.0,2200.0,2225.0,2242.0,2215,2201
17,"Clay County, Kansas",8845,8827,8730.0,8607.0,8493.0,8447.0,8444.0,8458.0,8527.0,8618.0,8500.0,8535,8553
18,"Cloud County, Kansas",10271,10238,10090.0,9948.0,9886.0,9739.0,9741.0,9560.0,9525.0,9541.0,9545.0,9533,9518
19,"Coffey County, Kansas",8871,8932,8828.0,8784.0,8795.0,8694.0,8622.0,8652.0,8542.0,8563.0,8566.0,8601,8610
20,"Comanche County, Kansas",1967,1955,1984.0,1956.0,1910.0,1905.0,1931.0,1842.0,1841.0,1902.0,1878.0,1891,1895
21,"Cowley County, Kansas",36307,36342,36103.0,36680.0,36300.0,36317.0,35928.0,35787.0,36148.0,36284.0,36195.0,36311,36285
22,"Crawford County, Kansas",38248,38262,38434.0,38330.0,38631.0,38656.0,38638.0,38855.0,38922.0,38997.0,38966.0,39134,39185
23,"Decatur County, Kansas",3472,3460,3450.0,3381.0,3302.0,3239.0,3128.0,3107.0,3043.0,2992.0,2980.0,2961,2952
24,"Dickinson County, Kansas",19327,19349,19138.0,19121.0,19238.0,19189.0,19285.0,19429.0,19454.0,19862.0,19730.0,19754,19739
25,"Doniphan County, Kansas",8249,8240,8219.0,8186.0,8144.0,8013.0,7868.0,7936.0,7988.0,8003.0,7907.0,7945,7950
26,"Douglas County, Kansas",99953,100247,101269.0,102552.0,103570.0,104826.0,105681.0,107187.0,107892.0,109010.0,110039.0,110826,111130
27,"Edwards County, Kansas",3449,3434,3376.0,3309.0,3223.0,3231.0,3194.0,3078.0,3068.0,3058.0,3008.0,3037,3049
28,"Elk County, Kansas",3261,3217,3147.0,3148.0,3087.0,3073.0,3041.0,2971.0,2939.0,2954.0,2914.0,2882,2872
29,"Ellis County, Kansas",27506,27454,27591.0,27532.0,27507.0,27457.0,27429.0,27653.0,27710.0,28010.0,28353.0,28452,28467
30,"Ellsworth County, Kansas",6524,6536,6477.0,6419.0,6440.0,6437.0,6404.0,6465.0,6503.0,6471.0,6432.0,6497,6511
31,"Finney County, Kansas",40517,40508,39730.0,38499.0,37701.0,37462.0,36754.0,36259.0,35663.0,35461.0,36300.0,36776,37013
32,"Ford County, Kansas",32452,32544,32182.0,31981.0,32285.0,32265.0,32354.0,32029.0,32168.0,32187.0,33158.0,33848,34094
33,"Franklin County, Kansas",24784,24869,25000.0,25218.0,25312.0,25525.0,25527.0,25716.0,25734.0,25851.0,25870.0,25992,26035
34,"Geary County, Kansas",27849,27845,27821.0,27679.0,27532.0,27149.0,27099.0,27708.0,27951.0,30276.0,31537.0,34362,35212
35,"Gove County, Kansas",3074,3087,3044.0,3018.0,2947.0,2896.0,2840.0,2824.0,2757.0,2646.0,2689.0,2695,2691
36,"Graham County, Kansas",2944,2925,2896.0,2886.0,2842.0,2786.0,2762.0,2751.0,2707.0,2669.0,2592.0,2597,2595
37,"Grant County, Kansas",7905,7880,7789.0,7901.0,7770.0,7722.0,7687.0,7707.0,7756.0,7674.0,7731.0,7829,7852
38,"Gray County, Kansas",5918,5913,5921.0,5973.0,5981.0,5951.0,5882.0,5838.0,5735.0,5821.0,5920.0,6006,6037
39,"Greeley County, Kansas",1534,1530,1524.0,1422.0,1377.0,1366.0,1299.0,1262.0,1275.0,1247.0,1210.0,1247,1259
40,"Greenwood County, Kansas",7663,7647,7653.0,7567.0,7493.0,7415.0,7222.0,6944.0,6957.0,6817.0,6724.0,6689,6677
41,"Hamilton County, Kansas",2665,2651,2675.0,2676.0,2694.0,2642.0,2590.0,2583.0,2633.0,2638.0,2669.0,2690,2694
42,"Harper County, Kansas",6537,6511,6436.0,6307.0,6308.0,6261.0,6166.0,6049.0,5998.0,6063.0,6025.0,6034,6028
43,"Harvey County, Kansas",32885,32894,32961.0,33254.0,33422.0,33549.0,33566.0,33659.0,33823.0,33994.0,34547.0,34684,34726
44,"Haskell County, Kansas",4307,4302,4246.0,4194.0,4214.0,4238.0,4250.0,4182.0,4184.0,4153.0,4188.0,4256,4274
45,"Hodgeman County, Kansas",2081,2072,2118.0,2139.0,2122.0,2089.0,2038.0,2027.0,1959.0,1949.0,1929.0,1916,1912
46,"Jackson County, Kansas",12650,12655,12672.0,12826.0,12983.0,13069.0,13362.0,13356.0,13348.0,13235.0,13369.0,13462,13492
47,"Jefferson County, Kansas",18450,18553,18640.0,18741.0,18835.0,19042.0,19159.0,19005.0,19049.0,19072.0,19037.0,19126,19132
48,"Jewell County, Kansas",3789,3747,3603.0,3491.0,3421.0,3349.0,3271.0,3264.0,3200.0,3137.0,3077.0,3077,3075
49,"Johnson County, Kansas",451541,454539,463554.0,475239.0,485689.0,495396.0,504441.0,514813.0,523879.0,532175.0,539396.0,544179,545876
50,"Kearny County, Kansas",4525,4497,4489.0,4371.0,4249.0,4231.0,4147.0,4052.0,3928.0,3909.0,3941.0,3977,3998
51,"Kingman County, Kansas",8675,8685,8597.0,8472.0,8544.0,8439.0,8249.0,8119.0,8011.0,7892.0,7885.0,7858,7840
52,"Kiowa County, Kansas",3278,3264,3160.0,3150.0,3175.0,3130.0,3088.0,3039.0,2837.0,2418.0,2490.0,2553,2570
